Sample,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
SYPL1,4499,6439,3942,10484,19193,18777,6256,7254,5623,6098,9005,5953,9902,7216,8413,10727,6343,8711,5696,5275
LAMC2,2268,19619,77,6680,153,14947,2046,2585,34527,167,16037,308,18940,1104,7352,10625,6068,10697,10973,435
SMG1,6625,7745,4019,7203,15757,18386,12032,10719,8749,2187,5907,5782,14456,6467,3825,12946,7867,6625,2777,5460
PROM1,17836,11686,2219,1191,4,17983,9055,55964,5436,1170,5664,7,9880,147,2325,10514,3746,3926,6392,189
COL14A1,918,1165,1222,1131,8960,2950,1895,350,2571,785,19262,16147,31251,7023,13243,11318,14634,9790,12533,8044
AKAP13,4972,6354,2291,6945,8979,16172,6645,9140,6822,1986,11254,7159,19481,5784,7141,13256,9340,7984,5734,7370
HADHB,3921,8201,2862,8988,7852,10689,8102,9952,6942,11252,9640,8230,8965,11967,9421,8566,7160,6463,7022,8588
NPY1R,70,1137,3942,77055,66,75,3439,627,156,70,2016,1022,29056,7705,8656,3322,7000,12662,592,6042
DNAJC3,3411,7941,1772,10180,22897,29891,9123,13493,4092,4989,7251,4677,8603,4077,5763,6448,5625,6109,4046,4281
SEC16A,5779,7905,3791,6547,13593,14220,4709,8532,13005,3993,11456,4128,12421,6123,8807,10183,7277,6445,10900,4791
CKAP4,8866,11355,4607,12197,9010,10346,16864,22764,12490,2552,8008,6023,7980,2682,5290,4806,3887,3985,8239,2648
G3BP2,6531,5082,2456,12466,19348,11213,4869,16734,14890,2648,6669,4383,11219,5521,6599,9305,6760,6536,6226,5014
AK2,11684,6479,3079,17034,3967,11948,21230,17981,12544,6928,6936,3282,5344,4804,5773,6062,4611,4543,5370,4847
ERRFI1,3385,3255,3962,5171,791,12227,21439,15496,13928,1399,15252,4762,9159,3996,8405,5622,12877,11737,3970,7544
SFRS11,7333,5556,6859,20834,6035,12747,15420,13068,8182,3376,8732,4235,9918,4886,5240,11582,5882,6179,3970,4212
SMG7,7649,7850,6816,26978,12071,12286,12307,13265,11625,9954,5124,3242,6065,3528,4105,6102,3671,4360,3715,3153
SSB,9487,9342,5440,10722,5788,11408,17127,20605,16284,3002,7839,4242,5803,5871,5127,5964,4459,4857,4309,6102
LSR,6995,20676,6177,14775,7945,12868,6259,19235,36117,2538,6017,398,4192,482,3440,2991,1939,2138,8040,554
ANO1,1574,1678,1609,4946,8205,16628,9163,1584,8300,860,22614,721,27251,2111,7200,14109,7200,12288,14657,1010
SULF1,9443,22019,4732,3968,24681,30342,5402,8547,13595,3016,6375,6457,4408,4043,2660,3906,3120,3995,1180,1812
KRT6B,6873,10326,681,8677,3,1067,89855,9232,7300,86,6192,565,3975,713,2859,2839,1532,1887,8485,498
FAM198B,3717,1463,1980,923,12505,5985,7248,1964,1193,748,13841,9644,18532,11935,12758,14610,14838,13278,5949,10507
PRELP,1116,1033,2230,3733,4713,5798,684,3717,3723,130,5247,26893,5875,17757,23031,5562,9962,9429,1520,31412
PHC2,7083,7545,3560,23247,3145,14975,7916,17808,11509,3720,12415,3671,7918,3253,6904,6571,5338,5204,8049,3721
STAT6,6567,5028,5618,4582,7064,6330,2916,17118,5111,2568,13673,8274,12326,9295,12114,10810,8157,7989,8715,9269
DCAF7,9147,6711,2182,14621,9529,13266,11033,20006,15755,4564,6822,3961,9953,3577,4904,7933,4767,4608,6593,3261
ATP5O,5076,6191,4769,7905,5168,7543,17757,12830,16304,6517,10806,5635,6659,8313,9260,6343,5441,6236,7463,6845
SDHC,11901,13160,7459,9308,11830,9364,10301,17259,12477,9229,5676,4095,5546,6229,5842,4660,5336,4444,3987,4761
RNPS1,9382,11333,6648,14732,6599,11890,17222,21689,14095,4246,7375,2225,5581,2755,5716,4765,4064,3550,6510,2297
GORASP2,4986,10744,4461,13241,18761,12287,12137,18380,12280,3557,6579,3611,6419,3826,6178,5237,4557,5036,5805,4573
LARS,5940,5483,3773,8553,10316,7627,11411,27527,9771,4945,8033,4342,11605,5205,6172,8325,5741,6490,6517,4849
PLXND1,4487,5507,4891,7651,4292,11394,4386,5340,4271,3877,11315,13144,8612,14598,14965,7079,9072,7900,7022,12733
SP1,5663,5590,2266,12349,11590,8872,7765,12630,6877,4269,7693,6412,13772,8640,6882,12371,7518,8191,5796,7247
MCFD2,3913,5276,2087,4396,14483,16171,6040,15506,11922,4296,9625,5841,10120,7115,7596,10587,7358,7561,4966,7450
GBP1,25132,37879,1134,1462,2069,39880,6817,18747,4101,506,2655,2195,4689,1488,2018,3982,1218,2795,1509,1964
FAM129A,2125,2902,2416,3370,18465,5054,6155,11689,7509,6068,15540,4344,14801,5169,10147,16546,7573,9786,8262,4175
PRCP,3112,5729,2990,11428,9236,15379,6244,10429,10545,4705,11342,8466,7963,7552,10105,8904,6468,8391,5526,7494
11-Sep,5250,7481,2127,9361,8506,14714,6839,6990,8700,3762,4483,10199,8553,15026,7287,6228,10045,6332,3422,16621
C10orf18,12202,9030,6040,6710,9107,19954,36612,11004,15040,2156,3705,2241,6140,2276,2131,4976,4982,3279,2008,2253
GRLF1,3615,12435,1694,5316,17124,11280,5788,7618,4365,4182,9649,4808,13202,7697,8393,13013,9035,7319,7322,7953
IPO9,5055,6255,5509,18165,10537,15453,13377,23571,19458,3132,5169,3172,5487,3465,4354,5032,3871,3442,3699,3560
TRA2B,8780,7425,3504,17689,5980,10263,12806,17552,15681,3380,8024,3997,8301,4413,6188,6794,4478,5807,6439,4244
PRPF19,6246,10598,3081,10230,15202,10402,7930,17497,14085,6228,10708,3081,7133,2842,7609,6856,4777,4973,9492,2755
ANP32A,8195,8317,5370,19811,5029,5648,14970,13034,12742,3673,8982,5002,7263,5302,6936,7539,5816,5590,7237,5263
NDFIP1,3939,5297,5099,8914,8149,11643,6935,10068,6593,3162,10318,7484,10603,8089,9790,11321,9710,8966,6067,9536
ZMYND11,8549,10058,4217,9003,12567,13765,6132,5882,17679,2296,8029,5069,9873,6692,6005,10771,7063,7217,4409,6370
PMP22,4086,5350,2699,1243,4005,17091,4262,1285,3037,683,13137,17386,8890,12186,15808,9911,10041,11457,4939,14108
RPL36AL,5367,7053,3526,7757,7904,6951,4734,10880,11336,4860,15289,6175,8631,7227,12957,9457,5382,8899,10494,6565
SPINT1,11212,10435,5247,11506,6338,12965,5669,12054,15191,9182,12234,147,12982,311,6198,7593,3510,4437,13890,252
NUDT21,5080,5595,4027,12601,8485,11372,16602,20672,17998,2625,7010,3962,8313,3862,5025,9649,4873,6127,4068,3343
GPBP1L1,7116,6511,2715,20821,7237,11360,7917,14056,14805,4026,7705,3920,9639,4691,6691,9622,5595,6335,5776,4743
STAG2,8882,5021,2910,5776,15610,9922,11840,13986,11630,4075,7289,5632,12240,6453,5152,11848,6396,7287,3831,5490
RAB11FIP1,5651,4203,2075,5205,51700,10887,2709,6424,2469,4246,9375,1937,12112,2706,4437,7825,8920,4231,11832,2311
U2AF2,8828,8839,4568,17724,7467,7823,10283,20834,14515,5314,9234,3257,7350,3165,6118,5997,4198,4381,8541,2779
SNRPD2,6977,11525,7962,13018,6220,8579,12620,17932,9649,10490,9693,3462,6347,3170,6658,5852,3455,5332,8846,3278
SH3BGRL,5190,3907,5348,8338,4420,8741,4359,8166,5436,4442,18220,7586,11751,5729,11561,16727,7475,10445,8457,4667
ADAM9,8679,9664,2098,1086,56146,15403,3497,3322,5314,1254,5025,7919,5320,6361,4889,6643,6093,4121,3716,4358
ACIN1,7196,6854,4956,15789,7035,9925,6959,11186,13277,3623,10638,5272,11634,5177,7492,9854,4839,7060,7397,4737
PGM1,2279,12203,1000,8400,5105,13728,3051,8135,5182,7344,5891,7538,6248,26454,9493,4745,10003,5356,5363,12926
CUL4A,4184,5442,1410,20935,14899,21829,7356,26883,7252,4832,5068,3607,6506,4339,4322,5705,3830,3960,4231,3852
TOMM6,12477,7501,10894,7943,6888,10714,32529,16328,10864,5996,6354,2674,3737,2968,5160,4036,2846,3139,4426,2871
NGRN,4644,6000,3101,10864,6267,12381,6463,13918,20126,3042,11167,4525,7741,6602,9045,8373,6162,6419,6682,6820
DDX1,5875,15088,3128,9260,11661,10600,6757,14982,12739,6007,7954,5239,6818,7225,6155,7286,5475,5659,5396,7000
OGDH,6778,4969,2652,10078,10562,15483,5456,9906,8239,4928,7352,8528,7268,13740,9569,5734,7126,5749,6260,9824
SARS,7087,8884,2043,7233,6752,13593,10518,12821,11210,7218,11951,5006,8613,5412,8222,7807,5358,6578,8589,5286
HIPK2,3032,2274,1439,2914,24439,9380,4426,4052,4384,4682,5278,8402,10876,19620,8676,10202,14190,6815,2962,11984
SUPT5H,9716,15436,2823,12212,8049,13549,8449,13317,7893,8209,8565,3511,7773,4447,7133,7062,4145,5280,7712,4376
MKRN1,5441,5552,5418,17544,12390,13173,4153,10114,11199,6564,9054,4929,9261,5092,6986,9305,5487,6006,6635,5285
C4orf3,3953,6641,4499,6493,7072,8484,4129,8797,11776,3615,11482,6876,10393,9558,10340,11055,8566,9920,6953,8957
LYZ,17832,12141,1720,1064,9509,25924,2908,22398,22055,3388,4952,8235,1184,1339,7979,4475,3108,1692,1304,6267
TSKU,818,3839,796,1876,53782,10252,1238,3171,2453,12121,5215,6530,4394,7327,10545,2985,11008,4260,4186,12506
CIDEC,15,84,22,73,171,11,185,69,10,9,2256,24259,4748,47957,19506,5165,16002,7073,1062,30565
GNG12,4337,7654,1613,623,8158,10717,4711,4084,4044,4081,8243,9555,12332,15429,10553,12076,11806,10476,5721,12823
PAK2,10023,10176,3078,14728,8956,17696,6781,11130,6744,3947,5523,6645,7969,7704,6101,7712,7263,5982,4085,6748
ITPR2,2262,1819,1126,1827,9313,7079,14784,24432,7347,745,10227,3415,21067,7216,3635,17535,9814,6419,4423,4462
ABHD2,4419,6928,1581,8605,6036,30442,7682,6406,11427,2976,6550,4987,12672,4885,6277,12059,8460,7078,4045,5387
NUP98,7628,7193,2399,7433,14692,15848,7402,16151,14347,5746,6972,3856,9376,5049,5080,8526,5587,6195,4556,4807
PLTP,2124,3739,2404,2707,2221,4138,766,6193,3858,2378,29293,31447,6994,9627,18958,4822,6588,6733,5806,8001
AMFR,2108,7411,3568,9596,9972,10595,5297,6735,10522,2706,15348,5100,11339,6439,9686,11407,7955,9055,7758,6072
FURIN,6754,6703,3789,25737,6087,7911,7029,5685,18240,12305,5933,5658,6906,7484,8233,4714,4478,3729,4771,6472
SRP72,7978,7859,4370,8500,11190,14096,8228,20411,15427,4153,6446,3920,8977,4018,5164,6997,5781,5899,4881,4270
ZNF638,4493,5874,4782,11896,7957,13052,15674,15100,9312,5227,9282,4352,11024,4838,5596,9438,4841,6714,4806,4225
WDR26,5684,8011,5931,10240,15203,11971,7462,9048,5806,6434,7118,6272,12380,7213,6446,8027,6831,7021,4550,6821
MCM7,9427,11062,4300,17012,5060,11796,12560,27094,14881,6483,5786,2268,4703,2566,3615,4845,2949,3094,6491,2420
CUTA,5624,8303,9368,9303,6426,11485,22867,20920,11312,7232,7787,2355,5316,2535,6318,4695,3241,3916,7106,2290
SSU72,7924,6748,4906,5675,5007,16141,7649,17503,13647,9771,8270,4748,6513,6364,8655,6029,5515,4794,7073,5371
PTP4A2,5654,6573,1794,13799,7427,14741,6654,7783,12887,3411,8150,7128,7753,9802,7398,9258,7771,7073,5059,7996
EDF1,6995,9141,10493,9616,2669,6349,3297,10184,14721,7873,13639,4506,7660,4915,10540,6872,4066,6283,13075,5173
RNF187,4897,15393,7634,15637,14681,8073,7478,13913,5987,6474,9465,3662,6154,3727,8362,5356,4165,5302,7868,3810
CNN2,3555,14874,11679,9735,9356,7523,2477,5493,7169,1877,16015,3617,11988,7526,9053,8567,4025,6575,12978,3785
CTSC,4289,9087,2292,1194,14720,14521,22486,16613,13813,4701,8100,9871,2700,4076,8364,4808,3816,3817,3270,5229
KIAA1217,3739,3562,3743,5467,13338,16675,8173,6513,2714,2757,10957,4845,18242,5814,6813,18813,7453,8178,7030,2933
